Temp (Ohm) (X58257),Temp (Ohm) (X53853),Temp (Ohm) (X53851),Temp (Ohm) (X53871)
174.078,91.911,94.826,97.933
174.178,91.911,96.121,99.314
178.312,93.206,97.387,99.314
178.312,94.561,97.503,100.796
182.781,94.561,98.963,102.085
187.606,96.027,98.963,102.375
187.606,96.027,100.536,104.053
192.814,97.59,102.215,104.053
192.814,99.254,102.215,105.86
198.503,99.254,104.024,107.781
203.799,101.063,104.024,107.807
206.222,101.063,106.324,110.302
213.051,103.375,106.324,110.302
213.051,105.462,108.451,112.597
220.615,105.483,110.765,112.597
228.788,107.8,110.765,115.093
228.998,107.8,113.294,117.819
238.289,110.313,115.763,117.819
238.289,113.073,116.061,120.803
248.787,113.073,119.117,120.803
260.599,116.147,119.117,124.14
260.599,116.147,122.508,127.821
274.183,119.573,126.343,127.821
274.183,123.469,126.343,132.03
290.109,123.469,130.76,136.715
309.073,127.961,130.76,136.878
309.073,127.961,135.911,142.517
332.257,133.295,142.11,142.517
332.257,139.679,142.11,149.406
361.413,139.679,149.754,157.989
400.043,147.793,149.754,157.989
400.043,158.259,159.725,169.312
454.975,158.578,173.394,169.312
535.29,173.702,173.394,185.127
539.383,173.702,193.316,206.141
701.33,201.015,193.316,213.987
753.59,201.015,242.105,213.987
753.59,241.943,242.318,262.984
1085.12,250.38,280.739,262.984
1085.12,275.543,280.739,301.609
1308.07,275.543,303.739,324.635
1489.23,293.824,303.739,324.635
1489.23,305.47,320.322,340.883
1617.7,306.13,331.355,340.883
1704.8,314.27,331.355,351.884
1705.44,314.27,338.709,359.493
1770.93,319.948,338.709,359.493
1770.93,323.967,343.612,364.661
1820.64,323.967,347.064,364.661
1859.1,327.235,347.064,368.502
1859.1,327.235,349.788,371.391
1891.58,329.637,352.035,371.391
1891.58,331.457,351.915,373.486
1917.49,331.457,353.671,374.804
1935.63,332.736,353.671,375.28
1935.63,332.736,355.194,376.792
1950.2,333.892,356.3,376.792
1950.2,334.827,356.3,378.113
1960.92,334.827,357.262,379.102
1971.12,335.617,357.262,379.102
1971.12,336.088,357.988,379.942
1979.98,336.312,358.565,379.942
1979.98,336.907,358.565,380.715
1990.0,336.907,359.012,381.259
1997.43,337.525,359.012,381.259
1997.43,337.928,359.481,381.697
2003.43,337.928,359.888,381.697
2008.41,338.248,359.888,382.097
2008.58,338.248,360.299,382.485
2012.83,338.517,360.56,382.485
2012.83,338.74,360.697,382.84
2014.98,338.74,360.983,382.84
2017.57,338.941,360.983,383.224
2017.57,338.941,361.205,383.476
2019.89,339.204,361.393,383.476
2019.89,339.375,361.393,383.767
2022.78,339.375,361.552,383.983
2025.36,339.619,361.552,383.983
2025.36,339.465,361.638,384.076
2029.36,339.801,361.753,384.076
2029.36,339.899,361.753,384.145
2029.58,339.899,361.929,384.145
2030.85,339.897,361.929,384.36
2032.47,339.897,362.022,384.559
2034.5,340.088,362.022,384.559
2034.5,340.294,362.138,384.742
2037.35,340.294,362.28,384.742
2041.09,340.511,362.28,384.923
2041.09,340.511,362.426,385.095
2044.63,340.702,362.633,385.095
2044.63,340.87,362.669,385.278
2047.36,340.87,362.964,385.354
2049.64,341.021,362.964,385.57
2049.64,341.021,363.222,385.857
2051.7,341.221,363.425,385.857
2051.7,341.417,363.425,386.141
2054.33,341.417,363.601,386.387
2057.11,341.63,363.601,386.387
2057.11,341.733,363.769,386.608
2060.51,341.879,363.887,386.608
2059.25,342.043,363.887,386.751
2063.75,342.043,364.05,386.874
2065.92,342.168,364.05,386.874
2065.92,342.297,364.238,387.03
2067.5,342.297,364.385,387.03
2069.08,342.374,364.385,387.204
2069.08,342.374,364.544,387.358
2070.08,342.525,364.504,387.358
2070.08,342.625,364.72,387.584
2071.71,342.625,364.814,387.262
2073.52,342.773,364.814,387.763
2073.52,342.773,364.892,387.883
