Time (s),Temp1 (Ohm),Temp2 (Ohm),Maybe Temp 3 (Ohm),Pressure (Torr),Temp (Ohm) (X58257)
367.1967,3.33196,5.3012,3.84507,0.634428,72.005
368.4947,3.33196,5.3012,3.84507,0.612518,72.005
369.7267,3.33196,5.3012,3.84507,0.590587,72.005
371.0597,3.32817,5.3012,3.84507,0.571237,72.005
372.3177,3.3301,5.3012,3.84507,0.549604,72.005
373.6637,3.3309,5.3012,3.84507,0.531804,72.005
374.9637,3.33192,5.3012,3.84507,0.512333,72.005
376.2787,3.3323,5.3012,3.84507,0.491344,72.005
377.6657,3.33252,5.3012,3.84507,0.476744,72.005
378.9237,3.33264,5.3012,3.84507,0.460805,72.005
380.2527,3.3327,5.3012,3.84507,0.446085,72.005
381.5337,3.3327,5.3012,3.84507,0.430808,72.005
382.7797,3.3327,5.2979,3.84507,0.415897,72.005
384.1787,3.3327,5.302,3.84507,0.402053,72.005
385.44370000000004,3.3327,5.3023,3.84507,0.388821,72.005
386.7237,3.3327,5.3025,3.84507,0.377269,72.005
388.1257,3.3327,5.3023,3.84507,0.362925,72.005
389.4647,3.3327,5.3023,3.84507,0.351198,72.005
390.8197,3.3327,5.3023,3.84507,0.3405,72.005
392.0677,3.3327,5.3023,3.84053,0.329242,72.005
393.4927,3.3327,5.3023,3.84248,0.319045,72.005
394.74170000000004,3.3327,5.3023,3.84422,0.308048,72.005
396.2457,3.3327,5.3023,3.84511,0.298366,72.005
397.4857,3.3327,5.3023,3.84554,0.288016,72.005
398.9417,3.3327,5.3023,3.84579,0.27918,72.005
400.2987,3.3327,5.3023,3.84594,0.271072,72.005
401.5747,3.3327,5.3023,3.84594,0.26207,72.005
402.96770000000004,3.3327,5.3023,3.84594,0.254088,72.005
404.2867,3.3327,5.3023,3.84594,0.245839,71.981
405.7847,3.3327,5.3023,3.84594,0.238773,71.987
407.1757,3.3327,5.3023,3.84594,0.230595,71.99
408.54970000000003,3.3327,5.3023,3.84594,0.223882,71.989
409.94870000000003,3.3327,5.3023,3.84594,0.217763,71.989
411.2137,3.3327,5.3023,3.84594,0.211098,71.989
412.5217,3.32876,5.3023,3.84594,0.204684,71.989
413.8847,3.33073,5.3023,3.84594,0.199182,71.989
415.2087,3.33147,5.3023,3.84594,0.194694,71.989
416.44870000000003,3.33244,5.3023,3.84594,0.189271,71.989
417.6947,3.33279,5.3023,3.84594,0.184226,71.989
419.02770000000004,3.33295,5.3023,3.84594,0.178765,71.989
420.32370000000003,3.33306,5.3023,3.84594,0.174335,71.989
421.6777,3.33311,5.3023,3.84594,0.170157,71.989
422.9037,3.33311,5.3023,3.84594,0.166067,71.989
424.1947,3.33311,5.294,3.84594,0.161851,71.989
425.4577,3.33311,5.3031,3.84594,0.157175,71.989
426.88370000000003,3.33311,5.3032,3.84594,0.153433,71.989
428.2087,3.33311,5.3033,3.84594,0.149503,71.989
429.5667,3.33311,5.3033,3.84594,0.145496,71.989
430.8827,3.33311,5.3033,3.84594,0.142566,71.989
432.1347,3.33311,5.3033,3.84594,0.139514,71.989
433.4857,3.33311,5.3033,3.84106,0.136067,71.989
434.7137,3.33311,5.3033,3.84339,0.133,71.989
436.0647,3.33311,5.3033,3.84427,0.129703,71.989
437.3937,3.33311,5.3033,3.84561,0.126741,71.989
438.6997,3.33311,5.3033,3.846,0.123392,71.989
440.0887,3.33311,5.3033,3.84628,0.121102,71.989
441.4087,3.33311,5.3033,3.84654,0.118282,71.989
442.7497,3.33311,5.3033,3.84656,0.11558,71.989
444.1127,3.33311,5.3033,3.84656,0.113158,71.989
445.3777,3.33311,5.3033,3.84656,0.111118,71.947
446.62370000000004,3.33311,5.3033,3.84656,0.108555,71.976
