Time (s),Temp (Ohm) (Barrel Type 1),Temp (Ohm) (Barrel Type 2),Pressure (Torr),Temp (Ohm) (X58257)
14371.0,4.45445,3.25297,0.21471,107.708
14372.2,4.45445,3.25297,0.215122,107.702
14373.5,4.45445,3.25297,0.214446,107.702
14374.8,4.45182,3.25297,0.214611,107.702
14376.2,4.45507,3.25297,0.21542,107.702
14377.6,4.45558,3.25297,0.215057,107.702
14379.1,4.45595,3.25297,0.21471,107.702
14380.4,4.45579,3.25297,0.21428,107.702
14381.7,4.45579,3.25297,0.215089,107.702
14383.2,4.45579,3.25071,0.214643,107.702
14384.5,4.45579,3.25264,0.214924,107.702
14385.9,4.45579,3.25311,0.214874,107.702
14387.2,4.45579,3.25374,0.21466,107.702
14388.5,4.45579,3.25394,0.214792,107.702
14389.9,4.45579,3.25402,0.21542,107.702
14391.3,4.45579,3.25413,0.215072,107.702
14392.6,4.45579,3.25416,0.214957,107.702
14393.9,4.45579,3.25416,0.214578,107.702
14395.2,4.45579,3.25416,0.215172,107.437
14396.6,4.45579,3.25416,0.215205,107.485
14397.9,4.45579,3.25416,0.21499,107.475
14399.3,4.45579,3.25416,0.215122,107.478
14400.7,4.45579,3.25416,0.215618,107.472
14402.1,4.45579,3.25416,0.215155,107.472
14403.4,4.45579,3.25416,0.215304,107.472
14404.7,4.4554,3.25416,0.215072,107.472
14406.0,4.45658,3.25416,0.214776,107.472
14407.4,4.45724,3.25416,0.215221,107.472
14408.7,4.45746,3.25416,0.215635,107.472
14410.1,4.45753,3.25416,0.215155,107.472
14411.4,4.45753,3.25416,0.215171,107.472
14412.7,4.45753,3.25209,0.215667,107.472
14414.0,4.45753,3.25377,0.215486,107.472
14415.4,4.45753,3.25417,0.214941,107.472
14416.7,4.45753,3.25483,0.215635,107.472
14418.1,4.45753,3.25506,0.215254,107.472
14419.5,4.45753,3.25521,0.215668,107.472
14421.0,4.45753,3.25534,0.215685,107.472
14422.3,4.45753,3.25534,0.215767,107.472
14423.6,4.45753,3.25534,0.214627,107.472
14425.0,4.45753,3.25534,0.215768,107.236
14426.3,4.45753,3.25534,0.215072,107.232
14427.6,4.45753,3.25534,0.215701,107.229
14428.9,4.45753,3.25534,0.215982,107.241
