Time (s),Temp (Ohm) (X58257),Temp (Ohm) (X53853),Temp (Ohm) (X53851),Temp (Ohm) (X53871)
4951.69,2105.44,345.006,367.266,390.471
4961.69,2105.96,345.074,367.247,390.471
4971.69,2105.96,345.104,367.292,390.519
4981.69,2107.12,345.104,367.31,390.381
4991.69,2107.92,345.18,367.31,390.554
5001.69,2107.92,345.18,367.347,390.598
5011.69,2108.61,345.225,367.396,390.598
5021.69,2108.61,345.26,367.396,390.593
5031.69,2109.52,345.26,367.435,390.624
5041.69,2109.75,345.259,367.435,390.624
5051.7,2109.75,345.2,367.506,390.666
5061.7,2109.7,345.267,367.562,390.666
5071.7,2107.92,345.276,367.562,390.734
5081.7,2109.55,345.276,367.595,390.816
5091.7,2109.95,345.35,367.595,390.816
5101.7,2109.95,345.38,367.633,390.864
5111.7,2110.59,345.38,367.665,390.864
5121.7,2111.52,345.445,367.665,390.939
5131.7,2111.52,345.445,367.693,390.959
5141.7,2112.46,345.514,367.707,390.959
5151.7,2112.46,345.569,367.734,390.989
5161.7,2113.71,345.569,367.754,390.51
5171.7,2114.18,345.564,367.754,391.009
5181.7,2114.18,345.564,367.825,391.014
5191.7,2114.28,345.579,367.847,391.014
5201.7,2114.28,345.578,367.847,391.055
5211.7,2113.89,345.578,367.898,391.103
5221.7,2113.98,345.587,367.898,391.103
5231.7,2113.98,345.544,367.927,391.195
5241.7,2114.18,345.672,367.943,391.195
5251.7,2112.27,345.713,367.943,391.237
5261.7,2114.98,345.713,367.942,391.249
5271.7,2115.53,345.751,367.942,391.249
5281.7,2115.53,345.788,367.967,391.261
5291.7,2116.6,345.788,367.995,391.261
5301.7,2116.6,345.802,367.995,391.254
5311.7,2117.08,345.802,368.038,391.267
5321.7,2117.33,345.821,367.916,391.267
5331.7,2117.33,345.796,368.119,391.308
5341.7,2117.17,345.796,368.128,390.88
5351.7,2116.89,345.824,368.128,391.402
5361.7,2116.89,345.824,368.174,391.424
5371.7,2117.2,345.884,368.18,391.424
5381.7,2117.2,345.896,368.18,391.47
5391.7,2117.78,345.896,368.19,391.493
5401.7,2118.86,345.978,368.19,391.488
5411.7,2118.86,345.531,368.231,391.477
5421.7,2119.35,345.99,368.238,391.477
5431.7,2119.35,345.977,368.238,391.494
5441.7,2119.65,345.977,368.276,391.51
5451.7,2119.77,345.968,368.276,391.51
5461.7,2119.77,346.011,368.348,391.568
5471.7,2119.51,346.011,368.363,391.568
5481.7,2120.64,346.032,368.363,391.638
5491.7,2119.73,346.032,368.387,391.697
5501.7,2120.1,346.097,367.903,391.697
5511.7,2120.1,346.157,368.388,391.707
5521.7,2120.73,346.157,368.405,391.707
5531.7,2121.67,346.185,368.405,391.737
5541.7,2121.67,346.185,368.431,391.72
5551.7,2122.37,346.196,368.453,391.72
5561.7,2122.37,346.183,368.453,391.747
5571.7,2122.67,346.183,368.521,391.747
5581.7,2122.27,346.192,368.521,391.805
5591.7,2122.27,346.192,368.604,391.847
5601.7,2122.35,346.24,368.627,391.847
5611.7,2122.35,346.26,368.627,391.904
5621.7,2122.64,346.26,368.646,391.934
5631.7,2122.95,346.301,368.646,391.934
5641.7,2122.95,346.288,368.665,391.977
5651.7,2123.34,346.326,368.668,391.977
5661.7,2124.35,346.386,368.668,392.01
5671.7,2124.87,346.386,368.675,392.015
5681.7,2125.05,346.428,368.193,392.015
5691.7,2125.05,346.421,368.714,392.005
5701.7,2125.77,346.421,368.747,392.005
5711.7,2126.17,346.45,368.747,392.042
5721.7,2126.17,346.45,368.794,392.063
5731.7,2126.49,346.493,368.816,392.063
5741.7,2126.49,346.481,368.816,392.119
5751.7,2126.32,346.481,368.884,392.107
5761.7,2126.22,346.493,368.884,392.205
5771.7,2126.22,346.493,368.932,392.246
5781.7,2126.33,346.543,368.937,392.246
5791.7,2126.33,346.607,368.937,392.297
5801.7,2127.18,346.607,368.931,392.305
5811.7,2127.83,346.651,368.931,392.305
5821.7,2127.83,346.654,368.951,392.309
5831.7,2128.72,346.686,368.969,392.309
5841.7,2127.92,346.693,368.969,392.323
5851.7,2129.1,346.693,369.016,392.321
5861.7,2129.39,346.687,368.428,392.321
5871.7,2129.39,346.687,369.106,392.372
5881.71,2129.27,346.687,369.111,392.372
5891.71,2129.21,346.714,369.111,392.433
5901.71,2129.21,346.714,369.174,392.481
5911.71,2129.45,346.744,369.153,392.481
5921.71,2129.45,346.777,369.188,392.533
5931.71,2129.78,346.777,369.19,392.345
5941.71,2130.94,346.866,369.19,392.559
5951.71,2130.94,346.866,369.196,392.566
5961.71,2131.77,346.895,369.223,392.566
5971.71,2131.77,346.898,369.223,392.549
5981.71,2131.93,346.898,369.293,392.586
5991.71,2132.06,346.891,369.293,392.586
6001.71,2132.06,346.902,369.314,392.614
6011.71,2132.06,346.913,369.352,392.614
6021.71,2130.14,346.926,369.352,392.695
6031.71,2131.7,346.926,369.399,392.753
6041.71,2132.13,346.996,369.399,392.753
6051.71,2132.13,347.019,369.412,392.789
6061.71,2132.97,347.019,369.415,392.789
6071.71,2133.85,347.085,369.415,392.816
6081.71,2133.85,347.085,369.427,392.835
6091.71,2134.36,347.103,369.462,392.835
6101.71,2134.36,347.13,369.468,392.834
6111.71,2135.12,347.13,369.486,392.765
6121.71,2135.31,347.155,369.486,392.847
6131.71,2135.31,347.155,369.554,392.873
6141.71,2135.48,347.132,369.59,392.873
6151.71,2135.48,347.157,369.59,392.915
6161.71,2135.42,347.157,369.641,392.959
6171.71,2135.82,347.17,369.641,392.959
6181.71,2135.82,347.184,369.674,393.025
6191.71,2135.61,347.216,369.702,393.025
6201.71,2133.66,347.254,369.702,393.079
6211.71,2136.45,347.254,369.694,393.127
6221.71,2137.0,347.321,369.694,393.127
6231.71,2137.0,347.341,369.707,393.12
6241.71,2137.57,347.341,369.725,393.12
6251.71,2138.5,347.37,369.725,393.113
6261.71,2138.5,347.37,369.767,393.139
6271.71,2138.63,347.381,369.733,393.139
6281.71,2138.63,347.368,369.87,393.2
6291.71,2138.22,347.368,369.888,392.766
6301.71,2138.16,347.415,369.888,393.305
6311.71,2138.16,347.415,369.917,393.323
6321.71,2138.52,347.437,369.946,393.323
6331.71,2138.52,347.481,369.946,393.363
6341.71,2139.02,347.481,369.952,393.382
6351.71,2140.01,347.557,369.952,393.382
6361.71,2140.01,347.375,369.957,393.395
6371.71,2140.9,347.586,369.97,393.395
6381.71,2140.9,347.599,369.97,393.393
6391.71,2141.38,347.599,370.015,393.399
6401.71,2141.5,347.577,370.015,393.399
6411.71,2141.5,347.6,370.114,393.469
6421.71,2141.04,347.6,370.134,393.469
6431.71,2142.0,347.632,370.134,393.526
6441.71,2141.29,347.632,370.13,393.579
6451.71,2141.69,347.705,369.87,393.579
