Time (s),Temp (Ohm) (X????1),Temp (Ohm) (X58257),Temp (Ohm) (X????2),Pressure (Torr),col11
4691.69,343.928,2093.24,366.222,0.000104124,389.279
4701.69,344.154,2094.3,366.298,0.000104012,389.279
4711.69,344.188,2091.43,366.298,0.000104092,389.37
4721.69,344.188,2094.82,366.416,0.00010398,389.449
4731.69,344.237,2095.31,366.416,0.000103996,389.449
4741.69,344.303,2095.31,366.506,0.000104188,389.547
4751.69,344.303,2095.91,366.587,0.000103741,389.547
4761.69,344.379,2097.03,366.587,0.000103837,389.662
4771.69,344.379,2097.03,366.651,0.000104108,389.772
4781.69,344.453,2097.75,366.665,0.000104028,389.772
4791.69,344.541,2097.75,366.732,0.000103845,389.861
4801.69,344.541,2099.0,366.778,0.000104092,389.64
4811.69,344.667,2100.44,366.778,0.00010398,389.964
4821.69,344.667,2100.44,366.811,0.000104076,390.024
4831.69,344.738,2101.64,366.881,0.000103988,390.024
4841.69,344.806,2101.64,366.881,0.00010406,390.052
4851.69,344.806,2103.0,366.935,0.000103972,390.112
4861.69,344.832,2103.76,366.935,0.000103829,390.112
4871.69,344.727,2103.76,366.995,0.000104124,390.166
4881.69,344.879,2104.34,367.04,0.000103972,390.166
4891.69,344.884,2102.52,367.04,0.000104308,390.214
4901.69,344.884,2104.29,367.163,0.000104052,390.279
4911.69,344.918,2104.82,367.163,0.000103821,390.279
4921.69,344.964,2104.82,367.215,0.000104004,390.362
4931.69,344.964,2104.94,367.242,0.000104052,390.362
4941.69,345.006,2105.44,367.242,0.000104116,390.448
4951.69,345.006,2105.44,367.266,0.000103988,390.471
4961.69,345.074,2105.96,367.247,0.000103948,390.471
4971.69,345.104,2105.96,367.292,0.000104036,390.519
4981.69,345.104,2107.12,367.31,0.00010402,390.381
4991.69,345.18,2107.92,367.31,0.000103964,390.554
5001.69,345.18,2107.92,367.347,0.000103885,390.598
5011.69,345.225,2108.61,367.396,0.000103853,390.598
5021.69,345.26,2108.61,367.396,0.000104068,390.593
5031.69,345.26,2109.52,367.435,0.000104108,390.624
5041.69,345.259,2109.75,367.435,0.00010406,390.624
5051.7,345.2,2109.75,367.506,0.00010402,390.666
5061.7,345.267,2109.7,367.562,0.000103956,390.666
5071.7,345.276,2107.92,367.562,0.00010398,390.734
5081.7,345.276,2109.55,367.595,0.000104004,390.816
5091.7,345.35,2109.95,367.595,0.000103813,390.816
5101.7,345.38,2109.95,367.633,0.000104012,390.864
5111.7,345.38,2110.59,367.665,0.000103948,390.864
5121.7,345.445,2111.52,367.665,0.000103932,390.939
5131.7,345.445,2111.52,367.693,0.000104108,390.959
5141.7,345.514,2112.46,367.707,0.000104044,390.959
5151.7,345.569,2112.46,367.734,0.000103948,390.989
